cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2019,undone-01,4320839,129564,2.998584,16460,0.380945,4375,0.101253,44103,1.020705,943525,21.836616,367209,8.498558,219617,5.082740,143939,3.331274,True,645863,231544,35.850327,True,715235,278186,38.894349,False,,,
2020,star-trek-lower-decks-101,916362,31729,3.462496,902,0.098433,1468,0.160199,15365,1.676739,70042,7.643486,17625,1.923367,9800,1.069446,4751,0.518463,True,241449,68258,28.270152,True,107058,42073,39.299258,False,,,
2021,invincible-101,3379986,247294,7.316421,13164,0.389469,24000,0.710062,74780,2.212435,689464,20.398428,169095,5.002831,93579,2.768621,54207,1.603764,True,345937,41786,12.079078,True,374901,91631,24.441386,False,,,
2022,boys-presents-diabolical-01,2020835,80077,3.962570,2113,0.104561,10800,0.534433,25642,1.268881,398529,19.721006,140855,6.970139,31688,1.568065,96987,4.799353,True,283274,31502,11.120682,True,214412,24320,11.342649,False,,,
2022,undone-02,2223968,38139,1.714908,3076,0.138311,5482,0.246496,7925,0.356345,359738,16.175503,89940,4.044123,41560,1.868732,149289,6.712731,True,155318,22509,14.492203,True,164416,22211,13.509026,True,149487,20291,13.573756
2023,invincible-201,5714252,404292,7.075152,20805,0.364090,65276,1.142337,99996,1.749940,842652,14.746497,145018,2.537830,41619,0.728337,231942,4.059009,True,552984,55071,9.958878,True,669002,54374,8.127629,False,,,
2025,invincible-301,17121146,471298,2.752725,37661,0.219968,45714,0.267003,103910,0.606910,2836719,16.568511,725878,4.239658,179213,1.046735,1272380,7.431629,True,1576527,164498,10.434201,True,1440789,114216,7.927323,True,1035328,75765,7.317971
2026,invincible-401,21493057,621566,2.891939,50130,0.233238,58083,0.270241,116744,0.543171,5622492,26.159573,1829949,8.514140,275741,1.282931,2646578,12.313642,True,2229866,239864,10.756880,True,1917256,144026,7.512090,True,1620351,119918,7.400742
2026,legend-of-vox-machina-410,11653223,160682,1.378863,21675,0.186000,8001,0.068659,27614,0.236964,3120340,26.776627,1144500,9.821317,160863,1.380416,1534415,13.167301,True,948461,75613,7.972178,True,1375143,90436,6.576480,False,,,
