set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
hbo-max-discovery-warner,2017,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2018,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2019,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2020,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2021,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2022,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2023,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2024,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2025,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,2026,0,,,0,0,0.000000,0,0.000000
hbo-max-discovery-warner,all,0,,,0,0,0.000000,0,0.000000
