set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,1,285087,63352.666667,4.500000,2025,6.000000,1.333333,380116.000000
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,2,538014,119558.666667,4.500000,2025,6.000000,1.333333,717352.000000
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,3,788942,175320.444444,4.500000,2025,6.000000,1.333333,1051922.666667
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,4,1082326,240516.888889,4.500000,2025,6.000000,1.333333,1443101.333333
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,5,1371531,304784.666667,4.500000,2025,6.000000,1.333333,1828708.000000
disney-plus,2020,lego-star-wars-holiday-special-2020,2020,6,1577927,350650.444444,4.500000,2025,6.000000,1.333333,2103902.666667
disney-plus,2020,solar-opposites-01,2020,1,750759,166835.333333,4.500000,2025,6.000000,1.333333,1001012.000000
disney-plus,2020,solar-opposites-01,2020,2,1135638,252364.000000,4.500000,2025,6.000000,1.333333,1514184.000000
disney-plus,2020,solar-opposites-01,2020,3,1354562,301013.777778,4.500000,2025,6.000000,1.333333,1806082.666667
disney-plus,2020,solar-opposites-01,2020,4,1623185,360707.777778,4.500000,2025,6.000000,1.333333,2164246.666667
disney-plus,2020,solar-opposites-01,2020,5,1862152,413811.555556,4.500000,2025,6.000000,1.333333,2482869.333333
disney-plus,2020,solar-opposites-01,2020,6,2053881,456418.000000,4.500000,2025,6.000000,1.333333,2738508.000000
disney-plus,2020,solar-opposites-01,2020,7,2223851,494189.111111,4.500000,2025,6.000000,1.333333,2965134.666667
disney-plus,2020,solar-opposites-01,2020,8,2362146,524921.333333,4.500000,2025,6.000000,1.333333,3149528.000000
disney-plus,2020,solar-opposites-01,2020,9,2493479,554106.444444,4.500000,2025,6.000000,1.333333,3324638.666667
disney-plus,2020,solar-opposites-01,2020,10,2611715,580381.111111,4.500000,2025,6.000000,1.333333,3482286.666667
disney-plus,2021,archer-1201,2021,1,716157,146154.489796,4.900000,2025,6.000000,1.224490,876926.938776
disney-plus,2021,archer-1201,2021,2,1544200,315142.857143,4.900000,2025,6.000000,1.224490,1890857.142857
disney-plus,2021,archer-1201,2021,3,2252778,459750.612245,4.900000,2025,6.000000,1.224490,2758503.673469
disney-plus,2021,archer-1201,2021,4,2963844,604866.122449,4.900000,2025,6.000000,1.224490,3629196.734694
disney-plus,2021,archer-1201,2021,5,3165958,646113.877551,4.900000,2025,6.000000,1.224490,3876683.265306
disney-plus,2021,archer-1201,2021,6,3296108,672675.102041,4.900000,2025,6.000000,1.224490,4036050.612245
disney-plus,2021,archer-1201,2021,7,3409242,695763.673469,4.900000,2025,6.000000,1.224490,4174582.040816
disney-plus,2021,archer-1201,2021,8,3519967,718360.612245,4.900000,2025,6.000000,1.224490,4310163.673469
disney-plus,2021,archer-1201,2021,9,3637270,742300.000000,4.900000,2025,6.000000,1.224490,4453800.000000
disney-plus,2021,archer-1201,2021,10,3760732,767496.326531,4.900000,2025,6.000000,1.224490,4604977.959184
disney-plus,2021,raya-and-the-last-dragon,2021,1,3642332,743333.061224,4.900000,2025,6.000000,1.224490,4459998.367347
disney-plus,2021,raya-and-the-last-dragon,2021,2,6789405,1385592.857143,4.900000,2025,6.000000,1.224490,8313557.142857
disney-plus,2021,raya-and-the-last-dragon,2021,3,9623653,1964010.816327,4.900000,2025,6.000000,1.224490,11784064.897959
disney-plus,2021,raya-and-the-last-dragon,2021,4,11984263,2445767.959184,4.900000,2025,6.000000,1.224490,14674607.755102
disney-plus,2021,raya-and-the-last-dragon,2021,5,14050118,2867371.020408,4.900000,2025,6.000000,1.224490,17204226.122449
