cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2019,she-ra-04,122856,2287,1.861529,90,0.073256,87,0.070815,1145,0.931985,18431,15.002116,3906,3.179332,3645,2.966888,6293,5.122257,True,8767,2006,22.881259,True,27080,5011,18.504431,False,,,
2021,invincible-101,3379986,247294,7.316421,13164,0.389469,24000,0.710062,74780,2.212435,689464,20.398428,169095,5.002831,93579,2.768621,54207,1.603764,True,345937,41786,12.079078,True,374901,91631,24.441386,False,,,
2021,what-if-2021-101,9063197,511212,5.640526,34600,0.381764,43632,0.481420,151823,1.675159,2351552,25.946164,517619,5.711219,238280,2.629094,258213,2.849028,True,1457057,250199,17.171531,True,1418223,435241,30.689179,True,230931,24223,10.489280
2022,boys-presents-diabolical-01,2020835,80077,3.962570,2113,0.104561,10800,0.534433,25642,1.268881,398529,19.721006,140855,6.970139,31688,1.568065,96987,4.799353,True,283274,31502,11.120682,True,214412,24320,11.342649,False,,,
2022,harley-quinn-301,1987305,75256,3.786837,3110,0.156493,8972,0.451466,24731,1.244449,318724,16.038001,64871,3.264270,27269,1.372160,103647,5.215455,True,285979,52800,18.462894,True,219281,31456,14.345064,False,,,
2023,invincible-201,5714252,404292,7.075152,20805,0.364090,65276,1.142337,99996,1.749940,842652,14.746497,145018,2.537830,41619,0.728337,231942,4.059009,True,552984,55071,9.958878,True,669002,54374,8.127629,False,,,
2023,spider-man-across-the-spider-verse,37279493,2288213,6.137994,228090,0.611838,272370,0.730616,629434,1.688419,7460896,20.013405,1111534,2.981623,283849,0.761408,1609475,4.317320,True,2849319,299618,10.515425,True,1590031,169572,10.664698,True,1981750,126679,6.392280
2024,hit-monkey-02,4161022,66260,1.592397,5599,0.134558,5732,0.137755,12927,0.310669,861549,20.705226,233767,5.618019,64669,1.554161,441014,10.598694,True,193594,23092,11.928056,True,328127,23319,7.106700,True,328130,21391,6.519063
2024,what-if-2021-03,57914415,703107,1.214045,102860,0.177607,44525,0.076881,115236,0.198976,10095818,17.432306,2957939,5.107431,681677,1.177042,4962627,8.568898,True,935576,97026,10.370723,True,3101429,185832,5.991819,True,2656461,179316,6.750184
2025,eyes-of-wakanda-01,30900384,408881,1.323223,46692,0.151105,23278,0.075332,72194,0.233635,7244070,23.443301,2326987,7.530609,437155,1.414724,3709590,12.004996,True,721818,78853,10.924222,True,1132051,151113,13.348604,True,1393872,84451,6.058734
2025,invincible-301,17121146,471298,2.752725,37661,0.219968,45714,0.267003,103910,0.606910,2836719,16.568511,725878,4.239658,179213,1.046735,1272380,7.431629,True,1576527,164498,10.434201,True,1440789,114216,7.927323,True,1035328,75765,7.317971
2025,your-friendly-neighborhood-spider-man-01,54570049,615224,1.127402,89342,0.163720,36385,0.066676,120909,0.221567,10615390,19.452777,3271308,5.994695,691736,1.267611,5251426,9.623275,True,629768,52733,8.373401,True,2883702,168846,5.855182,True,2392430,139465,5.829429
2026,invincible-401,21493057,621566,2.891939,50130,0.233238,58083,0.270241,116744,0.543171,5622492,26.159573,1829949,8.514140,275741,1.282931,2646578,12.313642,True,2229866,239864,10.756880,True,1917256,144026,7.512090,True,1620351,119918,7.400742
2026,x-men-97-201,14587133,266036,1.823772,26813,0.183813,25747,0.176505,45776,0.313811,3725507,25.539679,1333057,9.138581,189494,1.299049,1735802,11.899542,True,1940437,212713,10.962118,True,1793461,155002,8.642619,False,,,
