cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2018,legend-of-galactic-heroes-die-neue-these,106272,2631,2.475723,129,0.121387,36,0.033875,714,0.671861,42396,39.893857,7892,7.426227,7670,7.217329,10103,9.506737,True,86492,13707,15.847708,False,,,,False,,,
2019,love-death-robots-01,10366432,264486,2.551370,35897,0.346281,10215,0.098539,78087,0.753268,3627279,34.990622,2531635,24.421469,283743,2.737133,208352,2.009872,True,1840876,247049,13.420187,True,1699556,467866,27.528719,False,,,
2019,she-ra-04,122856,2287,1.861529,90,0.073256,87,0.070815,1145,0.931985,18431,15.002116,3906,3.179332,3645,2.966888,6293,5.122257,True,8767,2006,22.881259,True,27080,5011,18.504431,False,,,
2019,undone-01,4320839,129564,2.998584,16460,0.380945,4375,0.101253,44103,1.020705,943525,21.836616,367209,8.498558,219617,5.082740,143939,3.331274,True,645863,231544,35.850327,True,715235,278186,38.894349,False,,,
2020,altered-carbon-resleeved,1280140,112876,8.817473,1067,0.083350,4012,0.313403,12843,1.003250,242242,18.923087,53840,4.205790,21170,1.653725,41067,3.208008,True,187527,14961,7.978051,True,138920,15718,11.314426,False,,,
2020,bojack-horseman-06,3486103,99922,2.866295,13228,0.379449,5641,0.161814,31969,0.917041,735877,21.108871,249680,7.162152,154083,4.419921,146001,4.188086,True,115974,18371,15.840619,True,679508,241931,35.603849,False,,,
2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,23988079,1195830,4.985101,81797,0.340990,77058,0.321235,312285,1.301834,6883938,28.697329,1672333,6.971517,819740,3.417281,755987,3.151511,True,70359,8033,11.417161,True,152830,42750,27.972257,True,78468,17923,22.841158
2020,japan-sinks,898982,13306,1.480119,562,0.062515,639,0.071080,4036,0.448952,172373,19.174244,65632,7.300702,27994,3.113967,13128,1.460318,True,74814,13570,18.138316,True,91291,42101,46.117361,False,,,
2020,lego-star-wars-holiday-special-2020,1426728,96490,6.763027,5309,0.372110,4501,0.315477,41392,2.901184,313490,21.972654,96760,6.781951,54442,3.815864,30854,2.162571,True,270471,61072,22.579870,True,384651,149553,38.880180,False,,,
2020,solar-opposites-01,2552821,150057,5.878085,5050,0.197820,9974,0.390705,69816,2.734857,290961,11.397626,88235,3.456372,32693,1.280662,18420,0.721555,True,711260,212347,29.855046,True,311983,84594,27.114939,False,,,
2020,star-trek-lower-decks-101,916362,31729,3.462496,902,0.098433,1468,0.160199,15365,1.676739,70042,7.643486,17625,1.923367,9800,1.069446,4751,0.518463,True,241449,68258,28.270152,True,107058,42073,39.299258,False,,,
2021,archer-1201,3430191,115257,3.360075,10045,0.292841,8916,0.259927,35128,1.024083,605762,17.659716,216477,6.310931,129777,3.783375,102073,2.975724,True,649388,216303,33.308746,True,267611,86268,32.236343,False,,,
2021,blade-runner-black-lotus-101,1144796,44694,3.904102,1004,0.087701,3093,0.270179,15001,1.310364,206685,18.054308,78851,6.887777,19679,1.718996,38246,3.340857,True,200275,36714,18.331794,True,110370,20211,18.312041,False,,,
2021,invincible-101,3379986,247294,7.316421,13164,0.389469,24000,0.710062,74780,2.212435,689464,20.398428,169095,5.002831,93579,2.768621,54207,1.603764,True,345937,41786,12.079078,True,374901,91631,24.441386,False,,,
2021,love-death-robots-02,6257257,147649,2.359644,18177,0.290495,8263,0.132055,44295,0.707898,1338319,21.388270,713807,11.407666,190708,3.047789,140907,2.251897,True,668564,56574,8.462017,True,1016574,287890,28.319630,False,,,
2021,mitchells-vs-the-machines,9434262,756490,8.018539,42484,0.450316,59294,0.628496,291651,3.091402,2470174,26.183013,401064,4.251143,217452,2.304918,147047,1.558649,True,1518924,153556,10.109525,True,1602408,414947,25.895215,False,,,
2021,one-piece-95x,10895615,436328,4.004620,37673,0.345763,10354,0.095029,87479,0.802883,2325819,21.346377,815947,7.488765,497699,4.567884,369653,3.392677,True,31252,2301,7.362729,True,908460,351641,38.707373,True,648116,241307,37.232070
2021,one-piece-98x,11438921,531173,4.643559,23974,0.209583,18962,0.165767,71437,0.624508,2490228,21.769781,472793,4.133196,319674,2.794617,767073,6.705816,True,503946,171398,34.011184,True,363411,26238,7.219925,True,488927,38077,7.787870
2021,pacific-rim-the-black,1719747,61425,3.571746,5666,0.329467,3107,0.180666,19414,1.128887,402740,23.418561,155053,9.016035,78125,4.542819,47953,2.788375,True,104153,11685,11.219072,True,37438,4561,12.182809,False,,,
2021,q-force-01,591255,21774,3.682675,1641,0.277545,624,0.105538,4848,0.819951,111051,18.782251,38778,6.558591,22235,3.760645,22167,3.749144,True,66133,23105,34.937172,True,27700,4149,14.978339,False,,,
2021,raya-and-the-last-dragon,31421255,2209421,7.031613,130933,0.416702,167786,0.533989,717248,2.282684,8355035,26.590392,1319574,4.199622,654696,2.083609,671274,2.136369,True,3535134,525932,14.877286,True,3057777,659729,21.575445,True,2239975,612133,27.327671
2021,star-wars-visions-01,2435737,67152,2.756948,2657,0.109084,7109,0.291862,24484,1.005199,438586,18.006295,130748,5.367903,34984,1.436280,89214,3.662711,True,433289,62365,14.393396,True,222956,28650,12.850069,False,,,
2021,trese-01,3921093,121992,3.111173,13583,0.346409,5475,0.139629,35758,0.911940,886055,22.597143,306837,7.825293,177871,4.536261,115317,2.940940,True,373575,118907,31.829485,True,618353,243976,39.455780,False,,,
2021,ultra-city-smiths-106,417703,9410,2.252797,1320,0.316014,279,0.066794,3025,0.724199,81643,19.545706,30710,7.352114,18442,4.415099,14076,3.369858,True,55997,22230,39.698555,True,61068,24740,40.512216,False,,,
