set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
netflix-meta,2023,blue-eye-samurai-01,Blue Eye Samurai,"production_tags contains ""netflix animation studios""",2023-11-04,2024-01-12,2023,2024,10,132,4800356,36366.333333,793179,6008.931818,alpha60-devops/alpha60-results-2023,756991179cd89f2e6f182c2a7e2d4b181d47e8dc,data/json/blue-eye-samurai-01-week.json,data/json/blue-eye-samurai-01-cumulative.json
netflix-meta,2024,arcane-02.1,Arcane,"distribution_tags contains ""netflix""; release.genres intersects [""Adult animation""]",2024-11-09,2025-05-09,2024,2025,26,289,42209243,146052.743945,2934975,10155.622837,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.1-week.json,data/json/arcane-02.1-cumulative.json
netflix-meta,2024,arcane-02.2,Arcane,"distribution_tags contains ""netflix""; release.genres intersects [""Adult animation""]",2024-11-16,2025-05-16,2024,2025,26,302,44256982,146546.298013,2311459,7653.837748,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.2-week.json,data/json/arcane-02.2-cumulative.json
netflix-meta,2024,arcane-02.3,Arcane,"distribution_tags contains ""netflix""; release.genres intersects [""Adult animation""]",2024-11-23,2025-05-23,2024,2025,26,380,59203425,155798.486842,3681556,9688.305263,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.3-week.json,data/json/arcane-02.3-cumulative.json
netflix-meta,2025,long-story-short-01,The Long Story Short,"production_tags contains ""netflix animation studios""; distribution_tags contains ""netflix""; release.genres intersects [""Adult animation"", ""Animated sitcom""]",2025-08-22,2026-02-19,2025,2026,26,155,16076689,103720.574194,260820,1682.709677,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/long-story-short-01-week.json,data/json/long-story-short-01-cumulative.json
netflix-meta,2025,love-death-robots-04,"Love, Death & Robots","distribution_tags contains ""netflix""; release.genres intersects [""Adult animation""]",2025-05-15,2025-08-27,2025,2025,15,253,21970042,86838.110672,2120191,8380.201581,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/love-death-robots-04-week.json,data/json/love-death-robots-04-cumulative.json
