set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
superhero-animation,2019,she-ra-04,She-Ra Princess of Power,"branch:superhero-genre; release.genres contains ""Superhero""",2019-11-05,2019-12-16,2019,2019,6,23,129084,5612.347826,20007,869.869565,alpha60-devops/alpha60-results-2019,852e4a30685e4fe2117e910208b0c06bf60373c8,data/json/she-ra-04-week.json,data/json/she-ra-04-cumulative.json
superhero-animation,2021,invincible-101,Invincible,"branch:superhero-genre; release.genres contains ""Superhero""",2021-03-26,2021-06-03,2021,2021,10,97,3626709,37388.752577,710231,7321.969072,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/invincible-101-week.json,data/json/invincible-101-cumulative.json
superhero-animation,2021,what-if-2021-101,What if?,"branch:superhero-genre; release.genres contains ""Superhero""",2021-08-11,2021-11-23,2021,2021,15,143,9632766,67362.000000,1654502,11569.944056,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/what-if-2021-101-week.json,data/json/what-if-2021-101-cumulative.json
superhero-animation,2022,boys-presents-diabolical-01,The Boys Presents Diabolical,"branch:superhero-genre; release.genres contains ""Superhero""",2022-03-04,2022-05-19,2022,2022,11,150,2031828,13545.520000,450212,3001.413333,alpha60-devops/alpha60-results-2022,6ad35ef6834eec7455f83f0bc9b9331b8bc6dff8,data/json/boys-presents-diabolical-01-week.json,data/json/boys-presents-diabolical-01-cumulative.json
superhero-animation,2022,harley-quinn-301,Harley Quinn,"branch:superhero-genre; release.genres contains ""Superhero""",2022-07-28,2022-10-05,2022,2022,10,119,1996344,16776.000000,391442,3289.428571,alpha60-devops/alpha60-results-2022,6ad35ef6834eec7455f83f0bc9b9331b8bc6dff8,data/json/harley-quinn-301-week.json,data/json/harley-quinn-301-cumulative.json
superhero-animation,2023,invincible-201,Invincible,"branch:superhero-genre; release.genres contains ""Superhero""",2023-11-04,2024-01-12,2023,2024,10,102,5725638,56133.705882,1135003,11127.480392,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/invincible-201-week.json,data/json/invincible-201-cumulative.json
superhero-animation,2023,spider-man-across-the-spider-verse,Spider Man Across The Spider Verse,branch:spider-man-reviewed-slice; reviewed slice spider_man,2023-08-07,2024-02-05,2023,2024,27,366,37342322,102028.202186,7116425,19443.784153,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/spider-man-across-the-spider-verse-week.json,data/json/spider-man-across-the-spider-verse-cumulative.json
superhero-animation,2024,hit-monkey-02,Hit Monkey,"branch:superhero-genre; release.genres contains ""Superhero""",2024-07-16,2024-10-28,2024,2024,15,102,4174493,40926.401961,187122,1834.529412,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/hit-monkey-02-week.json,data/json/hit-monkey-02-cumulative.json
superhero-animation,2024,what-if-2021-03,What if?,"branch:superhero-genre; release.genres contains ""Superhero""",2024-12-22,2025-06-21,2024,2025,26,435,57989142,133308.372414,2258295,5191.482759,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/what-if-2021-03-week.json,data/json/what-if-2021-03-cumulative.json
superhero-animation,2025,eyes-of-wakanda-01,Eyes of Wakanda,"branch:superhero-genre; release.genres contains ""Superhero""",2025-08-01,2026-01-29,2025,2026,26,223,30938193,138736.291480,570861,2559.914798,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/eyes-of-wakanda-01-week.json,data/json/eyes-of-wakanda-01-cumulative.json
superhero-animation,2025,invincible-301,Invincible,"branch:superhero-genre; release.genres contains ""Superhero""",2025-02-06,2025-05-21,2025,2025,15,214,17149288,80136.859813,1675435,7829.135514,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/invincible-301-week.json,data/json/invincible-301-cumulative.json
superhero-animation,2025,your-friendly-neighborhood-spider-man-01,Your Friendly Neighborhood Spider Man,"branch:superhero-genre; release.genres contains ""Superhero""; branch:spider-man-reviewed-slice; reviewed slice spider_man",2025-01-30,2025-07-30,2025,2025,26,526,54642109,103882.336502,1444262,2745.745247,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/your-friendly-neighborhood-spider-man-01-week.json,data/json/your-friendly-neighborhood-spider-man-01-cumulative.json
superhero-animation,2026,invincible-401,Invincible,"branch:superhero-genre; release.genres contains ""Superhero""",2026-03-18,2026-06-30,2026,2026,15,205,21534524,105046.458537,1704456,8314.419512,alpha60-devops/alpha60-results-2026,4c46889187a46fcacd9a70ec6379ce66f3cdfa0e,data/json/invincible-401-week.json,data/json/invincible-401-cumulative.json
