set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
japan-origin,2017,0,,,0,0,0.000000,0,0.000000
japan-origin,2018,1,2018-04-03,2018-04-12,30,111518,3717.266667,60876,2029.200000
japan-origin,2019,0,,,0,0,0.000000,0,0.000000
japan-origin,2020,3,2020-03-19,2021-10-19,431,27899924,64733.002320,5849929,13572.921114
japan-origin,2021,6,2021-03-04,2022-03-11,1536,35299215,22981.259766,3944827,2568.246745
japan-origin,2022,0,,,0,0,0.000000,0,0.000000
japan-origin,2023,0,,,0,0,0.000000,0,0.000000
japan-origin,2024,1,2024-06-26,2025-01-08,192,25804356,134397.687500,1620573,8440.484375
japan-origin,2025,5,2025-04-07,2026-06-29,989,126277907,127682.413549,4751989,4804.842265
japan-origin,2026,2,2026-04-16,2026-09-08,453,16857290,37212.560706,1831126,4042.220751
japan-origin,all,18,2018-04-03,2026-09-08,3631,232250210,63963.153401,18059320,4973.649132
