set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
amazon-prime-video,2019,undone-01,Undone,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2019-09-13,2019-11-21,2019,2019,10,161,4898658,30426.447205,255622,1587.714286,alpha60-devops/alpha60-results-2019,852e4a30685e4fe2117e910208b0c06bf60373c8,data/json/undone-01-week.json,data/json/undone-01-cumulative.json
amazon-prime-video,2020,star-trek-lower-decks-101,Star Trek: Lower Decks,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2020-08-06,2020-10-03,2020,2020,9,73,925748,12681.479452,269677,3694.205479,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/star-trek-lower-decks-101-week.json,data/json/star-trek-lower-decks-101-cumulative.json
amazon-prime-video,2021,invincible-101,Invincible,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime"", ""amazon prime video""]",2021-03-26,2021-06-03,2021,2021,10,97,3626709,37388.752577,710231,7321.969072,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/invincible-101-week.json,data/json/invincible-101-cumulative.json
amazon-prime-video,2022,boys-presents-diabolical-01,The Boys Presents Diabolical,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2022-03-04,2022-05-19,2022,2022,11,150,2031828,13545.520000,450212,3001.413333,alpha60-devops/alpha60-results-2022,6ad35ef6834eec7455f83f0bc9b9331b8bc6dff8,data/json/boys-presents-diabolical-01-week.json,data/json/boys-presents-diabolical-01-cumulative.json
amazon-prime-video,2022,undone-02,Undone,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2022-04-29,2022-08-11,2022,2022,15,168,2235040,13303.809524,255808,1522.666667,alpha60-devops/alpha60-results-2022,6ad35ef6834eec7455f83f0bc9b9331b8bc6dff8,data/json/undone-02-week.json,data/json/undone-02-cumulative.json
amazon-prime-video,2023,invincible-201,Invincible,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2023-11-04,2024-01-12,2023,2024,10,102,5725638,56133.705882,1135003,11127.480392,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/invincible-201-week.json,data/json/invincible-201-cumulative.json
amazon-prime-video,2025,invincible-301,Invincible,"branch:amazon-prime-video-direct; distribution_tags intersects [""amazon prime video""]",2025-02-06,2025-05-21,2025,2025,15,214,17149288,80136.859813,1675435,7829.135514,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/invincible-301-week.json,data/json/invincible-301-cumulative.json
