set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
netflix,2019,love-death-robots-01,"Love, Death & Robots","branch:netflix-direct; distribution_tags intersects [""netflix""]",2019-03-15,2019-05-16,2019,2019,9,127,11114723,87517.503937,2632028,20724.629921,alpha60-devops/alpha60-results-2019,852e4a30685e4fe2117e910208b0c06bf60373c8,data/json/love-death-robots-01-week.json,data/json/love-death-robots-01-cumulative.json
netflix,2019,she-ra-04,She-Ra Princess of Power,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2019-11-05,2019-12-16,2019,2019,6,23,129084,5612.347826,20007,869.869565,alpha60-devops/alpha60-results-2019,852e4a30685e4fe2117e910208b0c06bf60373c8,data/json/she-ra-04-week.json,data/json/she-ra-04-cumulative.json
netflix,2020,altered-carbon-resleeved,Altered Carbon Resleeved,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2020-03-19,2020-05-27,2020,2020,10,66,1294918,19619.969697,349231,5291.378788,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/altered-carbon-resleeved-week.json,data/json/altered-carbon-resleeved-cumulative.json
netflix,2020,bojack-horseman-06,BoJack Horseman,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2020-01-31,2020-04-09,2020,2020,10,134,3872634,28900.253731,216149,1613.052239,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/bojack-horseman-06-week.json,data/json/bojack-horseman-06-cumulative.json
netflix,2020,japan-sinks,Japan Sinks,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2020-07-09,2020-09-23,2020,2020,11,138,911142,6602.478261,180638,1308.971014,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/japan-sinks-week.json,data/json/japan-sinks-cumulative.json
netflix,2021,love-death-robots-02,"Love, Death & Robots","branch:netflix-direct; distribution_tags intersects [""netflix""]",2021-05-14,2021-07-22,2021,2021,10,151,6778276,44889.245033,1188472,7870.675497,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/love-death-robots-02-week.json,data/json/love-death-robots-02-cumulative.json
netflix,2021,mitchells-vs-the-machines,The Mitchells vs The Machines,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2021-05-01,2021-07-09,2021,2021,10,83,10003687,120526.349398,2736577,32970.807229,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/mitchells-vs-the-machines-week.json,data/json/mitchells-vs-the-machines-cumulative.json
netflix,2021,q-force-01,Q-Force,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2021-09-02,2021-11-10,2021,2021,10,94,648492,6898.851064,40459,430.414894,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/q-force-01-week.json,data/json/q-force-01-cumulative.json
netflix,2021,trese-01,Trese,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2021-06-11,2021-08-19,2021,2021,10,122,4405810,36113.196721,217550,1783.196721,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/trese-01-week.json,data/json/trese-01-cumulative.json
netflix,2021,yasuke-01,Yasuke,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2021-04-29,2021-07-07,2021,2021,10,128,5862662,45802.046875,520800,4068.750000,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/yasuke-01-week.json,data/json/yasuke-01-cumulative.json
