set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
animated-features,2017,0,,,0,0,0.000000,0,0.000000
animated-features,2018,0,,,0,0,0.000000,0,0.000000
animated-features,2019,0,,,0,0,0.000000,0,0.000000
animated-features,2020,3,2020-03-19,2021-10-19,330,28566709,86565.784848,5888937,17845.263636
animated-features,2021,2,2021-03-05,2021-09-02,258,43083920,166991.937984,12195065,47267.693798
animated-features,2022,1,2022-03-11,2022-06-23,162,13279797,81974.055556,5318333,32829.216049
animated-features,2023,2,2023-05-16,2024-02-05,731,55413620,75805.225718,12513714,17118.623803
animated-features,2024,3,2024-06-26,2025-04-22,945,147669153,156263.653968,14813473,15675.632804
animated-features,2025,3,2025-01-28,2026-06-29,585,89917865,153705.752137,8664474,14811.066667
animated-features,2026,7,2026-01-29,2026-09-10,1445,183394858,126916.856747,12951634,8963.068512
animated-features,all,21,2020-03-19,2026-09-10,4456,561325922,125970.808348,72345630,16235.554309
