set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
amazon-prime-video,2017,0,,,0,0,0.000000,0,0.000000
amazon-prime-video,2018,0,,,0,0,0.000000,0,0.000000
amazon-prime-video,2019,1,2019-09-13,2019-11-21,161,4898658,30426.447205,255622,1587.714286
amazon-prime-video,2020,1,2020-08-06,2020-10-03,73,925748,12681.479452,269677,3694.205479
amazon-prime-video,2021,1,2021-03-26,2021-06-03,97,3626709,37388.752577,710231,7321.969072
amazon-prime-video,2022,2,2022-03-04,2022-08-11,318,4266868,13417.823899,706020,2220.188679
amazon-prime-video,2023,1,2023-11-04,2024-01-12,102,5725638,56133.705882,1135003,11127.480392
amazon-prime-video,2024,0,,,0,0,0.000000,0,0.000000
amazon-prime-video,2025,1,2025-02-06,2025-05-21,214,17149288,80136.859813,1675435,7829.135514
amazon-prime-video,2026,1,2026-03-18,2026-06-30,205,21534524,105046.458537,1704456,8314.419512
amazon-prime-video,all,8,2019-09-13,2026-06-30,1170,58127433,49681.566667,6456444,5518.328205
