set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
animated-features,2020,altered-carbon-resleeved,Altered Carbon Resleeved,"branch:film; media_object.type equals ""film""",2020-03-19,2020-05-27,2020,2020,10,66,1294918,19619.969697,349231,5291.378788,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/altered-carbon-resleeved-week.json,data/json/altered-carbon-resleeved-cumulative.json
animated-features,2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,Demon Slayer Kimetsu No Yaiba The Movie Mugen Train,"branch:film; media_object.type equals ""film""",2020-12-10,2021-10-19,2020,2021,45,227,25693864,113188.828194,5320060,23436.387665,alpha60-devops/alpha60-results-2020,cd7859dc590e6eda6c174a5fe2359ddf63b28cc6,data/json/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train-week.json,data/json/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train-cumulative.json
animated-features,2021,mitchells-vs-the-machines,The Mitchells vs The Machines,"branch:film; media_object.type equals ""film""",2021-05-01,2021-07-09,2021,2021,10,83,10003687,120526.349398,2736577,32970.807229,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/mitchells-vs-the-machines-week.json,data/json/mitchells-vs-the-machines-cumulative.json
animated-features,2021,raya-and-the-last-dragon,Raya & The Last Dragon,"branch:film; media_object.type equals ""film""",2021-03-05,2021-09-02,2021,2021,26,175,33080233,189029.902857,9458488,54048.502857,alpha60-devops/alpha60-results-2021,d2d308425a53a464f256191042c20eb298fa3232,data/json/raya-and-the-last-dragon-week.json,data/json/raya-and-the-last-dragon-cumulative.json
animated-features,2022,turning-red,Turning Red,"branch:film; media_object.type equals ""film""",2022-03-11,2022-06-23,2022,2022,15,162,13279797,81974.055556,5318333,32829.216049,alpha60-devops/alpha60-results-2022,6ad35ef6834eec7455f83f0bc9b9331b8bc6dff8,data/json/turning-red-week.json,data/json/turning-red-cumulative.json
animated-features,2023,spider-man-across-the-spider-verse,Spider Man Across The Spider Verse,"branch:film; media_object.type equals ""film""",2023-08-07,2024-02-05,2023,2024,27,366,37342322,102028.202186,7116425,19443.784153,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/spider-man-across-the-spider-verse-week.json,data/json/spider-man-across-the-spider-verse-cumulative.json
animated-features,2023,super-mario-brothers-movie,Super Mario Brothers: The Movie,"branch:film; media_object.type equals ""film""",2023-05-16,2023-09-25,2023,2023,19,365,18071298,49510.405479,5397289,14787.093151,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/super-mario-brothers-movie-week.json,data/json/super-mario-brothers-movie-cumulative.json
animated-features,2024,boy-and-the-heron,The Boy and the Heron,"branch:film; media_object.type equals ""film""",2024-06-26,2025-01-08,2024,2025,27,192,25804356,134397.687500,1620573,8440.484375,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/boy-and-the-heron-week.json,data/json/boy-and-the-heron-cumulative.json
animated-features,2024,inside-out-2,Inside Out 2,"branch:film; media_object.type equals ""film""",2024-08-19,2025-02-27,2024,2025,28,428,66093610,154424.322430,6468992,15114.467290,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/inside-out-2-week.json,data/json/inside-out-2-cumulative.json
animated-features,2024,wild-robot,Wild Robot,"branch:film; media_object.type equals ""film""",2024-10-16,2025-04-22,2024,2025,27,325,55771187,171603.652308,6723908,20688.947692,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/wild-robot-week.json,data/json/wild-robot-cumulative.json
animated-features,2025,moana-2,Moana 2,"branch:film; media_object.type equals ""film""",2025-01-28,2025-07-28,2025,2025,26,401,65364819,163004.536160,5463199,13623.937656,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/moana-2-week.json,data/json/moana-2-cumulative.json
animated-features,2025,predator-killer-of-killers,Predator Killer of Killers,"branch:film; media_object.type equals ""film""",2025-06-08,2025-09-27,2025,2025,15,146,15732708,107758.273973,1712943,11732.486301,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/predator-killer-of-killers-week.json,data/json/predator-killer-of-killers-cumulative.json
animated-features,2026,zootopia-2,Zootopia,"branch:film; media_object.type equals ""film""",2026-01-29,2026-07-29,2026,2026,26,340,69382512,204066.211765,4150872,12208.447059,alpha60-devops/alpha60-results-2026,4c46889187a46fcacd9a70ec6379ce66f3cdfa0e,data/json/zootopia-2-week.json,data/json/zootopia-2-cumulative.json
