set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
netflix,2017,0,,,0,0,0.000000,0,0.000000
netflix,2018,0,,,0,0,0.000000,0,0.000000
netflix,2019,2,2019-03-15,2019-12-16,150,11243807,74958.713333,2652035,17680.233333
netflix,2020,3,2020-01-31,2020-09-23,338,6078694,17984.301775,746018,2207.153846
netflix,2021,5,2021-04-29,2021-11-10,578,27698927,47922.019031,4703858,8138.162630
netflix,2022,0,,,0,0,0.000000,0,0.000000
netflix,2023,1,2023-11-04,2024-01-12,132,4800356,36366.333333,793179,6008.931818
netflix,2024,3,2024-11-09,2025-05-23,971,145669650,150020.236869,8927990,9194.634398
netflix,2025,1,2025-05-15,2025-08-27,253,21970042,86838.110672,2120191,8380.201581
netflix,2026,1,2026-03-06,2026-06-25,164,17733860,108133.292683,574687,3504.189024
netflix,all,16,2019-03-15,2026-06-25,2586,235195336,90949.472544,20517958,7934.245166
