cohort_year,collection_key,reason
2019,tales-of-the-city-2019,outside-animation-universe
2019,true-detective-301,outside-animation-universe
2019,true-detective-308,outside-animation-universe
2019,umbrella-academy-01,outside-animation-universe
2019,undone-01,category-predicate-not-matched
2019,walking-dead-1008,outside-animation-universe
2019,walking-dead-916,outside-animation-universe
2019,watchmen-104,outside-animation-universe
2019,watchmen-109,outside-animation-universe
2019,wu-assassins-01,outside-animation-universe
2019,yellowstone-210,outside-animation-universe
2020,alienist-201,outside-animation-universe
2020,altered-carbon-02,outside-animation-universe
2020,avenue-5-101,outside-animation-universe
2020,away-01,outside-animation-universe
2020,biohackers-01,outside-animation-universe
2020,black-is-king,outside-animation-universe
2020,blackaf-01,outside-animation-universe
2020,bojack-horseman-06,category-predicate-not-matched
2020,boys-201,outside-animation-universe
2020,boys-208,outside-animation-universe
2020,control-z-01,outside-animation-universe
2020,da-5-bloods,outside-animation-universe
2020,dark-03,outside-animation-universe
2020,devs-108,outside-animation-universe
2020,doom-patrol-201,outside-animation-universe
2020,euphoria-special,outside-animation-universe
2020,expanse-501,outside-animation-universe
2020,folklore,outside-animation-universe
2020,good-fight-407,outside-animation-universe
2020,hamilton,outside-animation-universe
2020,happiest-season,outside-animation-universe
2020,high-fidelity-01,outside-animation-universe
2020,jamtara-sabka-number-ayega,outside-animation-universe
2020,japan-sinks,category-predicate-not-matched
2020,lego-star-wars-holiday-special-2020,outside-animation-universe
2020,lovebirds,outside-animation-universe
2020,lovecraft-country-101,outside-animation-universe
2020,lovecraft-country-110,outside-animation-universe
2020,mandalorian-201,outside-animation-universe
2020,mandalorian-208,outside-animation-universe
2020,mulan,outside-animation-universe
2020,narcos-mexico-02,outside-animation-universe
2020,queer-eye-2018-05,outside-animation-universe
2020,raised-by-wolves-110,outside-animation-universe
2020,solar-opposites-01,category-predicate-not-matched
2020,songbird,outside-animation-universe
2020,space-force-01,outside-animation-universe
2020,star-trek-discovery-305,outside-animation-universe
2020,star-trek-lower-decks-101,category-predicate-not-matched
2020,star-trek-picard-110,outside-animation-universe
2020,tales-from-the-loop-01,outside-animation-universe
2020,tenet,outside-animation-universe
2020,tiger-king-and-i,outside-animation-universe
2020,umbrella-academy-02,outside-animation-universe
2020,upload-01,outside-animation-universe
2020,vanguard,outside-animation-universe
2020,westworld-301,outside-animation-universe
2020,westworld-308,outside-animation-universe
2020,what-we-do-in-the-shadows-210,outside-animation-universe
2020,wonder-woman-1984,outside-animation-universe
2021,archer-1201,category-predicate-not-matched
2021,army-of-the-dead,outside-animation-universe
2021,beatles-get-back,outside-animation-universe
2021,black-monday-310,outside-animation-universe
2021,blade-runner-black-lotus-101,category-predicate-not-matched
2021,bliss,outside-animation-universe
2021,borats-american-lockdown,outside-animation-universe
2021,cinderella-2021,outside-animation-universe
2021,cobra-kai-03,outside-animation-universe
2021,cocaine-cowboys-the-kings-of-miami,outside-animation-universe
2021,coming-2-america,outside-animation-universe
2021,cowboy-bebop-2021-01,outside-animation-universe
2021,debris-113,outside-animation-universe
2021,detective-chinatown-3,outside-animation-universe
2021,dont-look-up,outside-animation-universe
2021,doom-patrol-301,outside-animation-universe
2021,doors,outside-animation-universe
2021,dune-2021,outside-animation-universe
2021,expanse-510,outside-animation-universe
2021,expanse-601,outside-animation-universe
2021,falcon-and-the-winter-soldier-101,outside-animation-universe
2021,falcon-and-the-winter-soldier-106,outside-animation-universe
2021,for-all-mankind-201,outside-animation-universe
2021,for-all-mankind-210,outside-animation-universe
2021,foundation-101,outside-animation-universe
2021,godzilla-vs-kong,outside-animation-universe
2021,good-fight-510,outside-animation-universe
2021,halston-01,outside-animation-universe
2021,harder-they-fall,outside-animation-universe
2021,intergalactic-01,outside-animation-universe
2021,invasion-101,outside-animation-universe
2021,invincible-101,category-predicate-not-matched
2021,kung-fu-101,outside-animation-universe
2021,kung-fu-113,outside-animation-universe
2021,loki-101,outside-animation-universe
2021,loki-106,outside-animation-universe
2021,love-death-robots-02,category-predicate-not-matched
2021,lupin-02,outside-animation-universe
2021,made-for-love-107,outside-animation-universe
2021,malcolm-and-marie,outside-animation-universe
2021,matrix-resurrections,outside-animation-universe
2021,me-you-cant-see-01,outside-animation-universe
2021,money-heist-05.1,outside-animation-universe
2021,money-heist-05.2,outside-animation-universe
2021,mother-android,outside-animation-universe
2021,narcos-mexico-03,outside-animation-universe
2021,no-sudden-move,outside-animation-universe
2021,no-time-to-die,outside-animation-universe
2021,one-night-in-miami,outside-animation-universe
2021,one-piece-95x,category-predicate-not-matched
2021,one-piece-98x,category-predicate-not-matched
2021,only-murders-in-the-building-110,outside-animation-universe
2021,oprah-meghan-harry,outside-animation-universe
2021,outer-banks-02,outside-animation-universe
2021,outside-the-wire,outside-animation-universe
2021,pacific-rim-the-black,category-predicate-not-matched
2021,pose-307,outside-animation-universe
2021,princess-switch-3,outside-animation-universe
2021,prisoners-of-the-ghostland,outside-animation-universe
2021,q-force-01,category-predicate-not-matched
2021,queen-of-the-south-510,outside-animation-universe
2021,reservation-dogs-101,outside-animation-universe
2021,shadow-and-bone-01,outside-animation-universe
2021,shang-chi-and-the-legend-of-the-ten-rings,outside-animation-universe
2021,snowpiercer-209,outside-animation-universe
2021,space-sweepers,outside-animation-universe
2021,star-wars-visions-01,category-predicate-not-matched
2021,succession-301,outside-animation-universe
2021,suicide-squad-2021,outside-animation-universe
2021,summer-of-soul,outside-animation-universe
2021,ted-lasso-201,outside-animation-universe
2021,tomorrow-war,outside-animation-universe
2021,trese-01,category-predicate-not-matched
2021,ultra-city-smiths-106,category-predicate-not-matched
2021,underground-railroad-01,outside-animation-universe
2021,wandavision-101,outside-animation-universe
2021,wandavision-109,outside-animation-universe
2021,what-if-2021-101,category-predicate-not-matched
2021,witcher-02,outside-animation-universe
2021,y-the-last-man-101,outside-animation-universe
2021,yasuke-01,category-predicate-not-matched
2022,abbott-elementary-113,outside-animation-universe
2022,all-of-us-are-dead-01,outside-animation-universe
2022,all-the-old-knives,outside-animation-universe
2022,andor-101,outside-animation-universe
