set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
netflix-meta,2021,1,2021-05-14,2021-07-22,151,6778276,44889.245033,1188472,7870.675497
netflix-meta,2022,0,,,0,0,0.000000,0,0.000000
netflix-meta,2023,1,2023-11-04,2024-01-12,132,4800356,36366.333333,793179,6008.931818
netflix-meta,2024,3,2024-11-09,2025-05-23,971,145669650,150020.236869,8927990,9194.634398
netflix-meta,2025,2,2025-05-15,2026-02-19,408,38046731,93251.791667,2381011,5835.811275
netflix-meta,all,7,2021-05-14,2026-02-19,1662,195295013,117506.024669,13290652,7996.782190
