set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
animated-features,2021,4,2021-03-04,2021-09-02,470,50871314,108236.838298,12891599,27428.934043
animated-features,2022,1,2022-03-11,2022-06-23,162,13279797,81974.055556,5318333,32829.216049
animated-features,2023,2,2023-05-16,2024-02-05,731,55413620,75805.225718,12513714,17118.623803
animated-features,2024,3,2024-06-26,2025-04-22,945,147669153,156263.653968,14813473,15675.632804
animated-features,2025,2,2025-01-28,2025-09-27,547,81097527,148258.733090,7176142,13119.089580
animated-features,all,12,2021-03-04,2025-09-27,2855,348331411,122007.499475,52713261,18463.488967
