set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
japan-origin,2021,blade-runner-black-lotus-101,2021,1,206076,42056.326531,4.900000,2025,6.000000,1.224490,252337.959184
japan-origin,2021,blade-runner-black-lotus-101,2021,2,349975,71423.469388,4.900000,2025,6.000000,1.224490,428540.816327
japan-origin,2021,blade-runner-black-lotus-101,2021,3,460987,94078.979592,4.900000,2025,6.000000,1.224490,564473.877551
japan-origin,2021,blade-runner-black-lotus-101,2021,4,566797,115672.857143,4.900000,2025,6.000000,1.224490,694037.142857
japan-origin,2021,blade-runner-black-lotus-101,2021,5,660893,134876.122449,4.900000,2025,6.000000,1.224490,809256.734694
japan-origin,2021,blade-runner-black-lotus-101,2021,6,753764,153829.387755,4.900000,2025,6.000000,1.224490,922976.326531
japan-origin,2021,blade-runner-black-lotus-101,2021,7,844452,172337.142857,4.900000,2025,6.000000,1.224490,1034022.857143
japan-origin,2021,blade-runner-black-lotus-101,2021,8,944442,192743.265306,4.900000,2025,6.000000,1.224490,1156459.591837
japan-origin,2021,blade-runner-black-lotus-101,2021,9,1043066,212870.612245,4.900000,2025,6.000000,1.224490,1277223.673469
japan-origin,2021,blade-runner-black-lotus-101,2021,10,1158416,236411.428571,4.900000,2025,6.000000,1.224490,1418468.571429
japan-origin,2021,one-piece-95x,2021,1,34090,6957.142857,4.900000,2025,6.000000,1.224490,41742.857143
japan-origin,2021,one-piece-95x,2021,2,105539,21538.571429,4.900000,2025,6.000000,1.224490,129231.428571
japan-origin,2021,one-piece-95x,2021,3,174272,35565.714286,4.900000,2025,6.000000,1.224490,213394.285714
japan-origin,2021,one-piece-95x,2021,4,555129,113291.632653,4.900000,2025,6.000000,1.224490,679749.795918
japan-origin,2021,one-piece-95x,2021,5,1522455,310705.102041,4.900000,2025,6.000000,1.224490,1864230.612245
japan-origin,2021,one-piece-95x,2021,6,2434633,496863.877551,4.900000,2025,6.000000,1.224490,2981183.265306
japan-origin,2021,one-piece-95x,2021,7,3149283,642710.816327,4.900000,2025,6.000000,1.224490,3856264.897959
japan-origin,2021,one-piece-95x,2021,8,3722016,759595.102041,4.900000,2025,6.000000,1.224490,4557570.612245
japan-origin,2021,one-piece-95x,2021,9,4215380,860281.632653,4.900000,2025,6.000000,1.224490,5161689.795918
japan-origin,2021,one-piece-95x,2021,10,5082192,1037182.040816,4.900000,2025,6.000000,1.224490,6223092.244898
japan-origin,2021,one-piece-95x,2021,11,5735308,1170471.020408,4.900000,2025,6.000000,1.224490,7022826.122449
japan-origin,2021,one-piece-95x,2021,12,6454372,1317218.775510,4.900000,2025,6.000000,1.224490,7903312.653061
japan-origin,2021,one-piece-95x,2021,13,7188472,1467035.102041,4.900000,2025,6.000000,1.224490,8802210.612245
japan-origin,2021,one-piece-95x,2021,14,7847032,1601435.102041,4.900000,2025,6.000000,1.224490,9608610.612245
japan-origin,2021,one-piece-95x,2021,15,8295044,1692866.122449,4.900000,2025,6.000000,1.224490,10157196.734694
japan-origin,2021,one-piece-95x,2021,16,8708547,1777254.489796,4.900000,2025,6.000000,1.224490,10663526.938776
japan-origin,2021,one-piece-95x,2021,17,9054671,1847892.040816,4.900000,2025,6.000000,1.224490,11087352.244898
japan-origin,2021,one-piece-95x,2021,18,9378237,1913925.918367,4.900000,2025,6.000000,1.224490,11483555.510204
japan-origin,2021,one-piece-95x,2021,19,9706327,1980883.061224,4.900000,2025,6.000000,1.224490,11885298.367347
japan-origin,2021,one-piece-95x,2021,20,10011200,2043102.040816,4.900000,2025,6.000000,1.224490,12258612.244898
japan-origin,2021,one-piece-95x,2021,21,10280607,2098083.061224,4.900000,2025,6.000000,1.224490,12588498.367347
japan-origin,2021,one-piece-95x,2021,22,10560979,2155301.836735,4.900000,2025,6.000000,1.224490,12931811.020408
japan-origin,2021,one-piece-95x,2021,23,10860560,2216440.816327,4.900000,2025,6.000000,1.224490,13298644.897959
japan-origin,2021,one-piece-95x,2021,24,11137802,2273020.816327,4.900000,2025,6.000000,1.224490,13638124.897959
japan-origin,2021,one-piece-95x,2021,25,11618935,2371211.224490,4.900000,2025,6.000000,1.224490,14227267.346939
japan-origin,2021,one-piece-95x,2021,26,11916098,2431856.734694,4.900000,2025,6.000000,1.224490,14591140.408163
japan-origin,2021,one-piece-95x,2021,27,12177928,2485291.428571,4.900000,2025,6.000000,1.224490,14911748.571429
japan-origin,2021,one-piece-98x,2021,1,568966,116115.510204,4.900000,2025,6.000000,1.224490,696693.061224
japan-origin,2021,one-piece-98x,2021,2,823633,168088.367347,4.900000,2025,6.000000,1.224490,1008530.204082
japan-origin,2021,one-piece-98x,2021,3,992880,202628.571429,4.900000,2025,6.000000,1.224490,1215771.428571
japan-origin,2021,one-piece-98x,2021,4,1214290,247814.285714,4.900000,2025,6.000000,1.224490,1486885.714286
japan-origin,2021,one-piece-98x,2021,5,1532984,312853.877551,4.900000,2025,6.000000,1.224490,1877123.265306
japan-origin,2021,one-piece-98x,2021,6,1861260,379848.979592,4.900000,2025,6.000000,1.224490,2279093.877551
japan-origin,2021,one-piece-98x,2021,7,2222288,453528.163265,4.900000,2025,6.000000,1.224490,2721168.979592
japan-origin,2021,one-piece-98x,2021,8,2566400,523755.102041,4.900000,2025,6.000000,1.224490,3142530.612245
japan-origin,2021,one-piece-98x,2021,9,2901992,592243.265306,4.900000,2025,6.000000,1.224490,3553459.591837
japan-origin,2021,one-piece-98x,2021,10,3311476,675811.428571,4.900000,2025,6.000000,1.224490,4054868.571429
japan-origin,2021,one-piece-98x,2021,11,3763051,767969.591837,4.900000,2025,6.000000,1.224490,4607817.551020
japan-origin,2021,one-piece-98x,2021,12,4217521,860718.571429,4.900000,2025,6.000000,1.224490,5164311.428571
japan-origin,2021,one-piece-98x,2021,13,5844792,1192814.693878,4.900000,2025,6.000000,1.224490,7156888.163265
japan-origin,2021,one-piece-98x,2021,14,6347773,1295463.877551,4.900000,2025,6.000000,1.224490,7772783.265306
japan-origin,2021,one-piece-98x,2021,15,6760384,1379670.204082,4.900000,2025,6.000000,1.224490,8278021.224490
japan-origin,2021,one-piece-98x,2021,16,7229628,1475434.285714,4.900000,2025,6.000000,1.224490,8852605.714286
japan-origin,2021,one-piece-98x,2021,17,7676677,1566668.775510,4.900000,2025,6.000000,1.224490,9400012.653061
