set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
disney-meta,2021,3,2021-08-11,2021-12-08,449,15843387,35285.939866,2612036,5817.452116
disney-meta,2022,2,2022-03-11,2023-01-25,217,14126860,65100.737327,5416334,24960.064516
disney-meta,2023,1,2023-08-31,2024-02-28,81,6457910,79727.283951,441622,5452.123457
disney-meta,2024,2,2024-08-19,2025-06-21,863,124082752,143780.709154,8727287,10112.731170
disney-meta,2025,3,2025-01-30,2026-04-28,1167,140956749,120785.560411,2668854,2286.935733
disney-meta,all,11,2021-08-11,2026-04-28,2777,301467658,108558.753331,19866133,7153.810947
