set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
disney-meta,2021,archer-1201,Archer,"distribution_tags intersects [""fx""]; release.genres intersects [""Adult animation"", ""Animated sitcom""]",2021-08-26,2021-11-03,2021,2021,10,109,3760732,34502.128440,337276,3094.275229,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/archer-1201-week.json,data/json/archer-1201-cumulative.json
disney-meta,2021,what-if-2021-101,What if?,"production_tags intersects [""marvel studios animation""]",2021-08-11,2021-11-23,2021,2021,15,143,9632766,67362.000000,1654502,11569.944056,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/what-if-2021-101-week.json,data/json/what-if-2021-101-cumulative.json
disney-meta,2022,archer-1308,Archer,"distribution_tags intersects [""fx""]; release.genres intersects [""Adult animation"", ""Animated sitcom""]",2022-10-13,2023-01-25,2022,2023,15,55,847063,15401.145455,98001,1781.836364,alpha60-devops/alpha60-results-2022,657a141f29bede4397fbe6e24c043f30a7904d35,data/json/archer-1308-week.json,data/json/archer-1308-cumulative.json
disney-meta,2022,turning-red,Turning Red,"production_tags intersects [""pixar animation studios""]",2022-03-11,2022-06-23,2022,2022,15,162,13279797,81974.055556,5318333,32829.216049,alpha60-devops/alpha60-results-2022,657a141f29bede4397fbe6e24c043f30a7904d35,data/json/turning-red-week.json,data/json/turning-red-cumulative.json
disney-meta,2023,archer-1401,Archer,"distribution_tags intersects [""fx""]; release.genres intersects [""Adult animation"", ""Animated sitcom""]",2023-08-31,2024-02-28,2023,2024,26,81,6457910,79727.283951,441622,5452.123457,alpha60-devops/alpha60-results-2023,756991179cd89f2e6f182c2a7e2d4b181d47e8dc,data/json/archer-1401-week.json,data/json/archer-1401-cumulative.json
disney-meta,2024,inside-out-2,Inside Out 2,"production_tags intersects [""pixar animation studios""]",2024-08-19,2025-02-27,2024,2025,28,428,66093610,154424.322430,6468992,15114.467290,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/inside-out-2-week.json,data/json/inside-out-2-cumulative.json
disney-meta,2024,what-if-2021-03,What if?,"production_tags intersects [""marvel studios animation""]",2024-12-22,2025-06-21,2024,2025,26,435,57989142,133308.372414,2258295,5191.482759,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/what-if-2021-03-week.json,data/json/what-if-2021-03-cumulative.json
disney-meta,2025,eyes-of-wakanda-01,Eyes of Wakanda,"production_tags intersects [""marvel studios animation""]",2025-08-01,2026-01-29,2025,2026,26,223,30938193,138736.291480,570861,2559.914798,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/eyes-of-wakanda-01-week.json,data/json/eyes-of-wakanda-01-cumulative.json
disney-meta,2025,your-friendly-neighborhood-spider-man-01,Your Friendly Neighborhood Spider Man,"production_tags intersects [""marvel studios animation""]",2025-01-30,2025-07-30,2025,2025,26,526,54642109,103882.336502,1444262,2745.745247,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/your-friendly-neighborhood-spider-man-01-week.json,data/json/your-friendly-neighborhood-spider-man-01-cumulative.json
