cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2018,legend-of-galactic-heroes-die-neue-these,106272,2631,2.475723,129,0.121387,36,0.033875,714,0.671861,42396,39.893857,7892,7.426227,7670,7.217329,10103,9.506737,True,86492,13707,15.847708,False,,,,False,,,
2020,altered-carbon-resleeved,1280140,112876,8.817473,1067,0.083350,4012,0.313403,12843,1.003250,242242,18.923087,53840,4.205790,21170,1.653725,41067,3.208008,True,187527,14961,7.978051,True,138920,15718,11.314426,False,,,
2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,23988079,1195830,4.985101,81797,0.340990,77058,0.321235,312285,1.301834,6883938,28.697329,1672333,6.971517,819740,3.417281,755987,3.151511,True,70359,8033,11.417161,True,152830,42750,27.972257,True,78468,17923,22.841158
2020,japan-sinks,898982,13306,1.480119,562,0.062515,639,0.071080,4036,0.448952,172373,19.174244,65632,7.300702,27994,3.113967,13128,1.460318,True,74814,13570,18.138316,True,91291,42101,46.117361,False,,,
2021,blade-runner-black-lotus-101,1144796,44694,3.904102,1004,0.087701,3093,0.270179,15001,1.310364,206685,18.054308,78851,6.887777,19679,1.718996,38246,3.340857,True,200275,36714,18.331794,True,110370,20211,18.312041,False,,,
2021,one-piece-95x,10895615,436328,4.004620,37673,0.345763,10354,0.095029,87479,0.802883,2325819,21.346377,815947,7.488765,497699,4.567884,369653,3.392677,True,31252,2301,7.362729,True,908460,351641,38.707373,True,648116,241307,37.232070
2021,one-piece-98x,11438921,531173,4.643559,23974,0.209583,18962,0.165767,71437,0.624508,2490228,21.769781,472793,4.133196,319674,2.794617,767073,6.705816,True,503946,171398,34.011184,True,363411,26238,7.219925,True,488927,38077,7.787870
2021,pacific-rim-the-black,1719747,61425,3.571746,5666,0.329467,3107,0.180666,19414,1.128887,402740,23.418561,155053,9.016035,78125,4.542819,47953,2.788375,True,104153,11685,11.219072,True,37438,4561,12.182809,False,,,
2021,star-wars-visions-01,2435737,67152,2.756948,2657,0.109084,7109,0.291862,24484,1.005199,438586,18.006295,130748,5.367903,34984,1.436280,89214,3.662711,True,433289,62365,14.393396,True,222956,28650,12.850069,False,,,
2021,yasuke-01,5285294,263651,4.988389,18901,0.357615,20299,0.384066,75630,1.430952,1211250,22.917363,366863,6.941203,222488,4.209567,156508,2.961198,True,435354,123519,28.372083,True,887908,318753,35.899327,False,,,
2024,boy-and-the-heron,25759855,397686,1.543821,43080,0.167237,20992,0.081491,69583,0.270122,5055884,19.626989,1275137,4.950094,360492,1.399433,2258088,8.765919,True,735255,73960,10.059095,True,1290910,99424,7.701854,True,1172876,71679,6.111388
2025,dan-da-dan-210,64614158,611966,0.947108,109232,0.169053,9525,0.014741,104726,0.162079,15438182,23.892878,5143354,7.960104,981348,1.518782,7665358,11.863279,True,377809,36025,9.535241,True,2748446,201293,7.323884,True,3727195,244939,6.571671
2025,demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle,8801602,288694,3.280017,19385,0.220244,25323,0.287709,53172,0.604117,2774315,31.520569,976921,11.099354,118730,1.348959,918986,10.441122,True,375257,24227,6.456109,True,408725,27235,6.663404,True,403232,29685,7.361767
2025,lazarus-101,30499520,292350,0.958540,42156,0.138219,6835,0.022410,58011,0.190203,7012837,22.993270,2335154,7.656363,475413,1.558756,3458433,11.339303,True,392073,29787,7.597310,True,1312824,90897,6.923777,True,1485861,109278,7.354524
2025,lazarus-108,4115271,39373,0.956754,5439,0.132166,929,0.022574,7682,0.186671,960299,23.335012,327785,7.965089,63955,1.554090,462666,11.242662,True,141169,14353,10.167246,True,523247,36190,6.916428,False,,,
2025,lazarus-111,18071765,153400,0.848838,21951,0.121466,3195,0.017680,32413,0.179357,4416174,24.436872,1475890,8.166828,287110,1.588721,2223180,12.301953,True,354554,29320,8.269544,True,1265706,97918,7.736236,True,1658255,139486,8.411613
2026,all-you-need-is-kill,1626669,21901,1.346371,3130,0.192418,943,0.057971,3514,0.216024,450491,27.694079,166777,10.252670,22369,1.375141,218688,13.443915,True,103938,8719,8.388655,True,134829,8780,6.511952,True,82714,5628,6.804169
2026,ghost-in-the-shell-2026-01,15170201,160962,1.061041,24376,0.160683,3124,0.020593,27756,0.182964,4886097,32.208519,2735940,18.034962,240902,1.587995,1527507,10.069128,True,481739,38461,7.983784,True,2176864,161487,7.418332,False,,,
