cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2020,lego-star-wars-holiday-special-2020,1426728,96490,6.763027,5309,0.372110,4501,0.315477,41392,2.901184,313490,21.972654,96760,6.781951,54442,3.815864,30854,2.162571,True,270471,61072,22.579870,True,384651,149553,38.880180,False,,,
2020,solar-opposites-01,2552821,150057,5.878085,5050,0.197820,9974,0.390705,69816,2.734857,290961,11.397626,88235,3.456372,32693,1.280662,18420,0.721555,True,711260,212347,29.855046,True,311983,84594,27.114939,False,,,
2021,archer-1201,3430191,115257,3.360075,10045,0.292841,8916,0.259927,35128,1.024083,605762,17.659716,216477,6.310931,129777,3.783375,102073,2.975724,True,649388,216303,33.308746,True,267611,86268,32.236343,False,,,
2021,raya-and-the-last-dragon,31421255,2209421,7.031613,130933,0.416702,167786,0.533989,717248,2.282684,8355035,26.590392,1319574,4.199622,654696,2.083609,671274,2.136369,True,3535134,525932,14.877286,True,3057777,659729,21.575445,True,2239975,612133,27.327671
2021,star-wars-visions-01,2435737,67152,2.756948,2657,0.109084,7109,0.291862,24484,1.005199,438586,18.006295,130748,5.367903,34984,1.436280,89214,3.662711,True,433289,62365,14.393396,True,222956,28650,12.850069,False,,,
2021,what-if-2021-101,9063197,511212,5.640526,34600,0.381764,43632,0.481420,151823,1.675159,2351552,25.946164,517619,5.711219,238280,2.629094,258213,2.849028,True,1457057,250199,17.171531,True,1418223,435241,30.689179,True,230931,24223,10.489280
2022,archer-1308,796767,26201,3.288414,1064,0.133540,3203,0.402000,8866,1.112747,124909,15.676980,30150,3.784042,12399,1.556164,53920,6.767349,True,116808,25175,21.552462,True,71251,13308,18.677633,True,46803,8352,17.845010
2022,tales-of-the-jedi-01,1692330,75895,4.484645,2974,0.175734,9701,0.573233,27052,1.598506,262686,15.522150,54803,3.238316,19671,1.162362,85734,5.066033,True,295560,47806,16.174719,True,133883,22275,16.637661,True,103661,16172,15.600853
2022,turning-red,13252482,1781318,13.441392,62143,0.468916,142945,1.078628,770506,5.814051,4068414,30.699261,473253,3.571052,68224,0.514802,228165,1.721677,True,2337579,199609,8.539134,True,1511885,84355,5.579459,True,659057,41473,6.292779
2023,archer-1401,6443597,84550,1.312155,12451,0.193231,7531,0.116876,18078,0.280558,814025,12.633084,195189,3.029193,70796,1.098703,432481,6.711795,True,167001,43393,25.983677,True,196993,29149,14.796972,True,335288,27065,8.072165
2023,archer-1408,5113667,62777,1.227632,10023,0.196004,7330,0.143341,11525,0.225376,660814,12.922507,165241,3.231360,54719,1.070054,351888,6.881324,True,139700,25294,18.105941,True,189402,15757,8.319342,True,324415,28005,8.632462
2023,spider-man-across-the-spider-verse,37279493,2288213,6.137994,228090,0.611838,272370,0.730616,629434,1.688419,7460896,20.013405,1111534,2.981623,283849,0.761408,1609475,4.317320,True,2849319,299618,10.515425,True,1590031,169572,10.664698,True,1981750,126679,6.392280
2024,hit-monkey-02,4161022,66260,1.592397,5599,0.134558,5732,0.137755,12927,0.310669,861549,20.705226,233767,5.618019,64669,1.554161,441014,10.598694,True,193594,23092,11.928056,True,328127,23319,7.106700,True,328130,21391,6.519063
2024,inside-out-2,65975450,1430635,2.168435,146105,0.221454,65768,0.099686,394924,0.598592,10693234,16.207899,2535150,3.842566,710334,1.076664,4786959,7.255667,True,1931534,166081,8.598399,True,2661141,172969,6.499806,True,2673626,155835,5.828601
2024,what-if-2021-03,57914415,703107,1.214045,102860,0.177607,44525,0.076881,115236,0.198976,10095818,17.432306,2957939,5.107431,681677,1.177042,4962627,8.568898,True,935576,97026,10.370723,True,3101429,185832,5.991819,True,2656461,179316,6.750184
