cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2025,eyes-of-wakanda-01,30900384,408881,1.323223,46692,0.151105,23278,0.075332,72194,0.233635,7244070,23.443301,2326987,7.530609,437155,1.414724,3709590,12.004996,True,721818,78853,10.924222,True,1132051,151113,13.348604,True,1393872,84451,6.058734
2025,moana-2,65259110,1970568,3.019606,136279,0.208828,117431,0.179946,571704,0.876052,13547201,20.759096,3587182,5.496829,761058,1.166210,5708841,8.747960,True,2752735,224163,8.143283,True,2869825,163238,5.688082,True,2977765,167464,5.623815
2025,predator-killer-of-killers,15702951,703739,4.481572,26586,0.169306,55838,0.355589,185365,1.180447,3722280,23.704334,1007572,6.416450,199870,1.272818,1553112,9.890574,True,1528001,131107,8.580295,True,1233058,85133,6.904217,True,1004422,76908,7.656941
2025,star-wars-visions-03,55308790,495725,0.896286,91973,0.166290,6909,0.012492,93795,0.169584,13653732,24.686369,4418170,7.988188,823806,1.489467,7073089,12.788363,True,1109744,122281,11.018848,True,2425859,168959,6.964914,True,2817335,193035,6.851688
2025,your-friendly-neighborhood-spider-man-01,54570049,615224,1.127402,89342,0.163720,36385,0.066676,120909,0.221567,10615390,19.452777,3271308,5.994695,691736,1.267611,5251426,9.623275,True,629768,52733,8.373401,True,2883702,168846,5.855182,True,2392430,139465,5.829429
2026,hoppers,43400089,988740,2.278198,91720,0.211336,41426,0.095451,213746,0.492501,12316354,28.378638,4671419,10.763616,561858,1.294601,5325076,12.269735,True,444429,44536,10.020948,True,837832,90249,10.771730,True,2915797,195306,6.698203
2026,maul-shadow-lord-101,42646959,555633,1.302867,82196,0.192736,14449,0.033880,93224,0.218595,10809598,25.346703,3529812,8.276820,592595,1.389536,5651639,13.252150,True,1783716,184521,10.344752,True,2437518,193306,7.930444,True,2372158,174777,7.367848
2026,star-wars-visions-the-ninth-jedi-01,3049602,34808,1.141395,5451,0.178745,1566,0.051351,5141,0.168579,805954,26.428170,350676,11.499074,38610,1.266067,350258,11.485368,True,1145091,91097,7.955438,False,,,,False,,,
2026,toy-story-5,5023701,193095,3.843680,11078,0.220515,11983,0.238529,52215,1.039373,1559659,31.046016,768568,15.298840,52816,1.051336,354512,7.056789,True,1767187,182209,10.310680,False,,,,False,,,
2026,x-men-97-201,14587133,266036,1.823772,26813,0.183813,25747,0.176505,45776,0.313811,3725507,25.539679,1333057,9.138581,189494,1.299049,1735802,11.899542,True,1940437,212713,10.962118,True,1793461,155002,8.642619,False,,,
2026,zootopia-2,69242937,1344910,1.942306,135172,0.195214,53910,0.077856,256871,0.370971,20197595,29.169177,7614828,10.997263,897175,1.295692,8678900,12.533986,True,2310620,150732,6.523444,True,2460961,145111,5.896518,True,3251383,168479,5.181764
